cluster,accountId,assists,boosts,dBNOs,dailyKills,dailyWins,damageDealt,days,headshotKills,heals,killPoints,kills,longestKill,longestTimeSurvived,losses,maxKillStreaks,mostSurvivalTime,rankPoints,rankPointsTitle,revives,rideDistance,roadKills,roundMostKills,roundsPlayed,suicides,swimDistance,teamKills,timeSurvived,top10s,vehicleDestroys,walkDistance,weaponsAcquired,weeklyKills,weeklyWins,winPoints,wins
3,account.e7fec6ea065d4535ae04f4bbb595a182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.514a9ed026cf4c908de25ffba2e9a272,0,1,2,1,0,200,1,0,0,0,1,39.687172,236,1,1,236,0,,0,0,0,1,1,0,0,0,236,0,0,193.93102,10,1,0,0,0
3,account.500407bf562f4a2b95762686a3b2a63d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.17936c81f0d347e182ba4914d9b304be,0,3,3,2,0,282.2691,1,0,0,0,2,13.209423,618,1,2,618,0,,0,0,0,2,1,0,0,0,618,0,0,350.57477,9,2,0,0,0
3,account.63d462e92cd347afbfef138c63cd6541,1,1,0,0,0,37.41,2,0,1,0,0,0,524,2,0,524,0,,0,0,0,0,2,0,0,0,640,0,0,1152.9613,10,0,0,0,0
2,account.3bc739d612f24b45acba14cb4e3d97ce,0,6,7,0,0,874.719,3,1,0,0,3,99.67219,659,7,1,659,0,,0,246.95221,0,1,7,0,0,0,2760,1,0,3840.4414,28,0,0,0,0
3,account.9c1820a721e442e79e3c5095c0bcf4bb,1,1,7,9,0,983.4996,1,3,6,0,9,65.06864,364,6,4,364,0,,0,176.38652,0,8,6,0,0,0,1296,1,0,1388.8431,17,9,0,0,0
3,account.fe6d301de4924a5eaece7080795676ae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.10e844882a70456ab9daa29eecee7756,37,257,134,37,0,18810.496,6,30,169,0,145,376.53177,1582,83,2,1582,0,,43,174624.88,9,12,84,2,34.647743,1,72521,29,0,106317.89,531,111,0,0,2
3,account.4d3d7b1a2b694569889f8a531a20ef79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,account.77fa3292d1514810a1e435d120e883fe,48,302,137,0,0,19881.74,13,31,185,0,107,198.29492,1518,83,3,1518,0,,28,117722.92,0,7,88,2,261.67984,1,55476,35,5,63354.383,692,0,0,0,7
4,account.969ba129fd5441f1a2a4a5e58a6e1050,4,40,30,3,0,4541.4243,2,7,32,0,28,142.91081,1447,14,2,1447,0,,1,12596.978,0,7,14,0,21.376476,0,7301,1,0,7082.8833,80,28,0,0,0
3,account.f3c01696d4c24a0ea702629df08ec1aa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.7420892311cb4cb3801fa9d8101ed2ac,33,293,91,6,0,12749.614,19,29,78,0,104,383.03253,1582,91,5,1582,0,,24,129047.945,3,7,93,2,149.48567,0,77871,29,1,111243.55,539,28,0,0,3
3,account.e42628cb49b847a2a4c3d78a974b1265,10,37,15,4,0,3365.5178,10,2,25,0,17,220.43793,1448,26,2,1448,0,,6,11947.345,0,5,26,0,0,0,13096,5,0,16394.412,96,4,0,0,0
3,account.c8038c7bfc814b0680a4bd7cc43f424e,0,4,1,0,0,46.886887,1,0,6,0,0,0,435,1,0,435,0,,0,0,0,0,1,0,0,0,435,0,0,498.26923,6,0,0,0,0
3,account.3882a17618aa4a1cb2a779b4adb0ea06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.a603028226db482b9ea12560d3d369ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.a0de3a6b6df64b9f873b4763782809f0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.477dbd97af464371a63c21186e5424f2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.0884234bb6ac4e6491445cbcbcadf4bf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
